Project,Started     ,Finished    ,Estimate,Epic     ,Description
CSVera ,15 Jan 2013 ,16 Jan 2013 ,1       ,EDITING  ,Make rows move above/below visible rows on table (ignoring filtered rows)
CSVera ,16 Jan 2013 ,16 Jan 2013 ,1       ,EDITING  ,When clicking a column heading, the select box should drop down immediately
CSVera ,            ,            ,1       ,EDITING  ,Add row
CSVera ,            ,            ,2       ,EDITING  ,In-cell editing
CSVera ,            ,            ,2       ,DEPLOY   ,Create a nice minified package for installers
CSVera ,            ,            ,1       ,EDITING  ,Provide one-time drop-downs for cells in new row (with a free text option)
CSVera ,            ,            ,1       ,FILTERS  ,Filter by empty/not empty
CSVera ,            ,            ,1       ,FILTERS  ,Show all
CSVera ,            ,            ,1       ,SORTING  ,Sort by column
CSVera ,            ,            ,2       ,FILES    ,Try a data URI to save the CSV locally
CSVera ,            ,            ,2       ,FILES    ,Try the TiddlyWiki save
CSVera ,            ,            ,8       ,FILES    ,Otherwise, write a Chrome plugin to allow saving
CSVera ,            ,            ,2       ,FILES    ,Modify the Chrome plugin to allow file loading without -allow-file-access-from-files
CSVera ,            ,            ,2       ,FILES    ,Allow users to select CSVs from a file dialog
CSVera ,            ,            ,1       ,BOOTSTRAP,Add bootstrap defaults. Must remain usable without Bootstrap
CSVera ,            ,            ,1       ,BOOTSTRAP,Adapt table
CSVera ,            ,            ,1       ,BOOTSTRAP,Adapt edit fields
CSVera ,            ,            ,1       ,BOOTSTRAP,Adapt drop-downs
CSVera ,            ,            ,1       ,DATA     ,Pad columns (except the last) out to the width of the widest value
CSVera ,            ,            ,3       ,DATA     ,Handle data containing commas
